Date,KO,^NDX
2016-01-04,35.69382858276367,4497.85986328125
2016-01-05,35.82009506225586,4484.18017578125
2016-01-06,35.6264762878418,4443.990234375
2016-01-07,35.03718948364258,4305.72021484375
2016-01-08,34.94458770751953,4270.77978515625
2016-01-11,35.00352096557617,4283.5498046875
2016-01-12,35.458099365234375,4333.72021484375
2016-01-13,35.23081588745117,4183.1201171875
2016-01-14,35.25605773925781,4272.97021484375
2016-01-15,34.9361686706543,4141.080078125
2016-01-19,35.289737701416016,4147.06982421875
2016-01-20,34.835147857666016,4136.27978515625
2016-01-21,34.843563079833984,4142.60009765625
2016-01-22,35.4075927734375,4259.77001953125
2016-01-25,35.49177932739258,4196.52978515625
2016-01-26,35.42441940307617,4233.85009765625
2016-01-27,35.4328498840332,4128.85986328125
2016-01-28,35.83692932128906,4186.06005859375
2016-01-29,36.131568908691406,4279.169921875
2016-02-01,36.198917388916016,4286.56005859375
2016-02-02,35.72749710083008,4193.10009765625
2016-02-03,35.96320343017578,4171.97021484375
2016-02-04,35.80324935913086,4167.77001953125
2016-02-05,35.72749710083008,4024.469970703125
2016-02-08,35.90428161621094,3960.669921875
2016-02-09,36.45147705078125,3947.800048828125
2016-02-10,35.82009506225586,3966.280029296875
2016-02-11,35.70223617553711,3962.219970703125
2016-02-12,36.291526794433594,4019.18994140625
2016-02-16,36.50197982788086,4104.330078125
2016-02-17,36.611419677734375,4199.10009765625
2016-02-18,36.71244430541992,4151.490234375
2016-02-19,36.84714126586914,4164.08984375
2016-02-22,36.99024963378906,4231.27001953125
2016-02-23,36.779781341552734,4162.5400390625
2016-02-24,36.964988708496094,4200.66015625
2016-02-25,37.17544937133789,4241.06005859375
2016-02-26,36.3167724609375,4235.6201171875
2016-02-29,36.30835723876953,4201.1201171875
2016-03-01,36.779781341552734,4333.60986328125
2016-03-02,36.84714126586914,4334.39013671875
2016-03-03,37.007076263427734,4325.85986328125
2016-03-04,37.133358001708984,4329.0
2016-03-07,37.049171447753906,4303.330078125
2016-03-08,37.31014633178711,4265.509765625
2016-03-09,37.7226448059082,4293.22998046875
2016-03-10,38.07621383666992,4286.97021484375
2016-03-11,38.34770202636719,4361.830078125
2016-03-14,38.42405700683594,4367.330078125
2016-03-15,38.38163757324219,4367.080078125
2016-03-16,38.22043991088867,4404.2001953125
2016-03-17,38.831298828125,4400.259765625
2016-03-18,38.68705749511719,4410.830078125
2016-03-21,38.74645233154297,4426.97998046875
2016-03-22,38.60221481323242,4437.6201171875
2016-03-23,38.56828689575195,4402.56005859375
2016-03-24,38.670101165771484,4405.52978515625
2016-03-28,38.85673141479492,4398.06982421875
2016-03-29,39.433650970458984,4467.72021484375
2016-03-30,39.51850509643555,4490.8798828125
2016-03-31,39.357295989990234,4483.66015625
2016-04-01,39.7305908203125,4532.080078125
2016-04-04,39.781497955322266,4511.7001953125
2016-04-05,39.476078033447266,4470.75
2016-04-06,39.6287841796875,4543.77978515625
2016-04-07,39.33184814453125,4475.2900390625
2016-04-08,39.7645378112793,4474.93017578125
2016-04-11,39.399723052978516,4458.7099609375
2016-04-12,39.577880859375,4496.0400390625
2016-04-13,39.060359954833984,4554.72021484375
2016-04-14,38.8821907043457,4554.6298828125
2016-04-15,39.11125946044922,4543.16015625
2016-04-18,39.213077545166016,4569.31005859375
2016-04-19,39.53545379638672,4537.08984375
2016-04-20,37.64352798461914,4540.43994140625
2016-04-21,37.041168212890625,4540.7998046875
2016-04-22,37.78776550292969,4474.18994140625
2016-04-25,37.931983947753906,4474.1298828125
2016-04-26,37.77927780151367,4452.97021484375
2016-04-27,37.90653991699219,4416.6298828125
2016-04-28,37.864112854003906,4363.990234375
2016-04-29,38.008331298828125,4341.2998046875
2016-05-02,38.161048889160156,4381.2998046875
2016-05-03,38.04227828979492,4341.39013671875
2016-05-04,38.161048889160156,4312.009765625
2016-05-05,38.22892761230469,4309.47998046875
2016-05-06,38.44951629638672,4330.169921875
2016-05-09,38.38163757324219,4341.22998046875
2016-05-10,38.8143196105957,4402.0400390625
2016-05-11,38.56828689575195,4361.02978515625
2016-05-12,38.8821907043457,4342.81005859375
2016-05-13,38.47496032714844,4326.52978515625
2016-05-16,38.70402908325195,4380.47998046875
2016-05-17,37.965911865234375,4322.56005859375
2016-05-18,37.73685073852539,4338.22998046875
2016-05-19,37.60110855102539,4315.580078125
2016-05-20,37.287200927734375,4362.89990234375
2016-05-23,37.304168701171875,4355.10009765625
2016-05-24,37.64352798461914,4444.2998046875
2016-05-25,37.65201187133789,4476.43017578125
2016-05-26,37.915016174316406,4487.9599609375
2016-05-27,37.99137496948242,4512.5400390625
2016-05-31,37.83865737915039,4523.89013671875
2016-06-01,37.92350769042969,4520.06982421875
2016-06-02,37.940467834472656,4531.35009765625
2016-06-03,38.21195983886719,4509.7900390625
2016-06-06,38.4919319152832,4523.6298828125
2016-06-07,38.44951629638672,4513.08984375
2016-06-08,38.64464569091797,4520.6298828125
2016-06-09,38.82280349731445,4512.68994140625
2016-06-10,39.01793670654297,4461.0498046875
2016-06-13,38.57339096069336,4422.759765625
2016-06-14,38.50499725341797,4424.91015625
2016-06-15,38.479347229003906,4409.509765625
2016-06-16,38.73582077026367,4424.22998046875
2016-06-17,38.29126739501953,4374.3798828125
2016-06-20,38.45369338989258,4400.16015625
2016-06-21,38.581939697265625,4413.39990234375
2016-06-22,38.35110855102539,4404.72998046875
2016-06-23,38.539188385009766,4467.47998046875
2016-06-24,37.55604934692383,4285.7001953125
2016-06-27,37.42781448364258,4201.0498046875
